BusinessEntityID	PersonType	NameStyle	Title	FirstName	MiddleName	LastName	Suffix	EmailPromotion	AdditionalContactInfo	Demographics	rowguid	ModifiedDate
1	EM	0	NULL	Ken	J	Sánchez	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	92C4279F-1207-48A3-8448-4636514EB7E2	2009-01-07 
2	EM	0	NULL	Terri	Lee	Duffy	NULL	1	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	D8763459-8AA8-47CC-AFF7-C9079AF79033	2008-01-24 
3	EM	0	NULL	Roberto	NULL	Tamburello	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	E1A2555E-0828-434B-A33B-6F38136A37DE	2007-11-04 
4	EM	0	NULL	Rob	NULL	Walters	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	F2D7CE06-38B3-4357-805B-F4B6B71C01FF	2007-11-28 
5	EM	0	Ms.	Gail	A	Erickson	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	F3A3F6B4-AE3B-430C-A754-9F2231BA6FEF	2007-12-30 
6	EM	0	Mr.	Jossef	H	Goldberg	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	0DEA28FD-EFFE-482A-AFD3-B7E8F199D56F	2013-12-16 
7	EM	0	NULL	Dylan	A	Miller	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	C45E8AB8-01BE-4B76-B215-820C8368181A	2009-02-01 
8	EM	0	NULL	Diane	L	Margheim	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	A948E590-4A56-45A9-BC9A-160A1CC9D990	2008-12-22 
9	EM	0	NULL	Gigi	N	Matthew	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	5FC28C0E-6D36-4252-9846-05CAA0B1F6C5	2009-01-09 
10	EM	0	NULL	Michael	NULL	Raheem	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	CA2C740E-75B2-420C-9D4B-E3CBC6609604	2009-04-26 
11	EM	0	NULL	Ovidiu	V	Cracium	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	D2CC2577-EF6B-4408-BD8C-747337FE5645	2010-11-28 
12	EM	0	NULL	Thierry	B	D'Hers	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	FA263C7F-600D-4E89-8DCD-0978F3530F5F	2007-12-04 
13	EM	0	Ms.	Janice	M	Galvin	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	34EB99E0-7042-4DC1-A2FD-BDA290FF0E07	2010-12-16 
14	EM	0	NULL	Michael	I	Sullivan	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	9A7501DE-5CAF-4700-AB07-CC81102BB696	2010-12-23 
15	EM	0	NULL	Sharon	B	Salavaria	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	BEBA63CB-13F1-4B76-A3DE-FE9AC283A94C	2011-01-11 
16	EM	0	NULL	David	M	Bradley	NULL	1	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	2CC8BA72-5DBB-497F-B941-775517993638	2007-12-13 
17	EM	0	NULL	Kevin	F	Brown	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	9EE4713E-B3D8-4409-BC5E-DEC62497F43A	2007-01-19 
18	EM	0	NULL	John	L	Wood	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	FE21BDA7-9327-4D13-89CC-8CA5CEE8F21E	2011-01-31 
19	EM	0	NULL	Mary	A	Dempsey	NULL	1	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	36F04305-6769-4E61-9143-048B2B7AFA20	2011-02-07 
20	EM	0	NULL	Wanida	M	Benshoof	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	1E7E56F4-A583-4E3F-A3FE-BA8A71096D10	2010-12-31 
21	EM	0	NULL	Terry	J	Eminhizer	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	6A288FE0-D9CB-4DA2-BEEA-51370220490C	2009-02-23 
22	EM	0	NULL	Sariya	E	Harnpadoungsataya	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	276E0EB5-0CE7-443F-987F-B7EF293C0930	2008-12-05 
23	EM	0	NULL	Mary	E	Gibson	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	B10CF8EB-5589-4A81-B1BD-051C5759CE06	2009-01-05 
24	EM	0	Ms.	Jill	A	Williams	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	3F605060-96AD-4201-9BE2-BFE7A3C4E468	2009-01-11 
25	EM	0	NULL	James	R	Hamilton	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	423FE59B-7975-4A7E-B8D2-87105C286D4C	2009-01-27 
26	EM	0	NULL	Peter	J	Krebs	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	6F32F507-290E-4A96-A045-F445EAE4337F	2008-11-24 
27	EM	0	NULL	Jo	A	Brown	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	EDD8ADD6-F7FD-4086-BFDC-B4FD3E6AD8D7	2008-02-20 
28	EM	0	NULL	Guy	R	Gilbert	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	D366A33A-8EDE-42BD-BF79-3E7FB9713FE1	2006-06-23 
29	EM	0	NULL	Mark	K	McArthur	NULL	1	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	667FA3BA-B877-4BCC-A752-E461040E2DDD	2009-01-16 
30	EM	0	NULL	Britta	L	Simon	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	5090C9A8-E39E-4A4D-9133-14E7CF07998B	2009-01-22 
31	EM	0	NULL	Margie	W	Shoop	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	5EA8A3DA-7BEA-4ADC-85F5-C934E2033825	2008-12-28 
32	EM	0	NULL	Rebecca	A	Laszlo	NULL	1	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	686BD5AF-6F30-4633-944B-3C1916CB4CA2	2008-12-22 
33	EM	0	NULL	Annik	O	Stahl	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	BFA2BDC8-208A-447B-8A4E-72A215E9E134	2008-12-10 
34	EM	0	NULL	Suchitra	O	Mohan	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	7E239D8B-00BF-42D6-AC6B-4EA718DBC2B3	2009-02-09 
35	EM	0	NULL	Brandon	G	Heidepriem	NULL	1	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	4CC8EDC2-5502-4550-8089-9B3CC6006490	2009-02-01 
36	EM	0	NULL	Jose	R	Lugo	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	54655E98-B81A-4041-8FA4-9349C018521F	2009-02-03 
37	EM	0	NULL	Chris	O	Okelberry	NULL	0	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	5B16CA18-703B-48E8-AB3E-CA158C854808	2009-02-28 
38	EM	0	NULL	Kim	B	Abercrombie	NULL	2	NULL	 xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>	9A2163B3-2F4D-4F9A-91BD-07D326140F9C	2010-01-09 
